developer,año,price,contador
Kotoshiro,2018.0,4.99,1
Secret Level SRL,2018.0,0.0,1
Poolians.com,2017.0,0.0,1
彼岸领域,2017.0,0.99,1
Trickjump Games Ltd,2018.0,3.99,1
Poppermost Productions,2018.0,18.99,1
Poppermost Productions,2018.0,29.99,1
Stegalosaurus Game Development,2018.0,10.99,1
Copperpick Studio,2018.0,3.99,1
Ghulam Jewel,2018.0,2.99,1
Apillo,2018.0,1.59,1
Poppermost Productions,2018.0,14.99,1
Apillo,2018.0,1.99,1
Poppermost Productions,2018.0,59.99,1
Tero Lunkka,2018.0,0.99,1
FrozenPepper,2017.0,2.99,1
FrozenPepper,2017.0,2.99,1
Casey Labrack,2018.0,4.99,1
Stainless Games Ltd,1997.0,9.99,1
Valve,1998.0,9.99,1
dev4play,2016.0,1.99,1
ETGgames,2018.0,0.99,1
"lalalaZero,Urbanoff",2018.0,0.99,1
Strategy First,2006.0,6.99,1
Strategy First,2006.0,6.99,1
Outerlight Ltd.,2006.0,9.99,1
Ultraint,2017.0,7.99,1
TPM.CO SOFT WORKS,2017.0,10.99,1
Wonderbox Games,2017.0,9.99,1
Wonderbox Games,2017.0,9.99,1
Mad Unicorn Games,2017.0,1.99,1
GlyphX Games,2005.0,9.99,1
Introversion Software,2006.0,9.99,1
Outerlight Ltd.,2006.0,9.99,1
Facepunch Studios,2006.0,9.99,1
SimBin,2006.0,39.99,1
Unknown Worlds Entertainment,2006.0,0.0,1
"CINEMAX, s.r.o.",2006.0,4.99,1
Sick Puppies,2003.0,4.99,1
Deepred,2006.0,4.99,1
Funcom,2006.0,19.99,1
Bugbear Entertainment,2006.0,9.99,1
Bugbear Entertainment,2005.0,7.49,1
"CAPCOM Co., Ltd.",2007.0,14.99,1
"FireFly Studios,Firaxis Games",2006.0,9.99,1
Arkane Studios,2002.0,4.99,1
Funcom,2000.0,9.99,1
Firaxis Games,2006.0,4.99,1
PopTop,2003.0,9.99,1
"Firaxis Games,Feral Interactive (Mac)",2006.0,9.99,1
PopTop,1998.0,4.99,1
"MicroProse Software, Inc",1995.0,4.99,1
"Crystal Dynamics,Feral Interactive (Mac)",2007.0,8.99,1
"CAPCOM Co., Ltd.",2006.0,19.99,1
Telltale Games,2006.0,19.99,1
id Software,1996.0,4.99,1
Telltale Games,2006.0,19.99,1
id Software,1995.0,4.99,1
id Software,1995.0,14.99,1
id Software,1994.0,4.99,1
id Software,1994.0,4.99,1
Gray Matter Studios,2001.0,4.99,1
Ritual Entertainment,1997.0,2.99,1
id Software,1993.0,2.99,1
Terminal Reality,2003.0,9.99,1
Rogue Entertainment,2007.0,2.99,1
id Software,2007.0,4.99,1
Metamorf,2007.0,4.99,1
Relic Entertainment,2006.0,12.99,1
"2K Boston,2K Australia",2007.0,19.99,1
Relic Entertainment,2006.0,12.99,1
Relic Entertainment,2006.0,12.99,1
The Creative Assembly,2004.0,9.99,1
The Creative Assembly,2006.0,4.99,1
Big Fish Games,2007.0,6.99,1
Rockstar North,2004.0,9.99,1
Rockstar San Diego,2003.0,9.99,1
Remedy Entertainment,2003.0,9.99,1
Crystal Dynamics,2006.0,6.99,1
Remedy Entertainment,2001.0,9.99,1
EA Los Angeles,2008.0,19.99,1
Infinite Interactive,2007.0,9.99,1
Momentum Digital Media Technologies,2007.0,9.99,1
"Gamebryo,Virtual Playground",2007.0,9.99,1
SCS Software,2007.0,9.99,1
SCS Software,2007.0,9.99,1
Pivotal Games,2008.0,5.99,1
Bohemia Interactive,2007.0,7.99,1
Spellbound,2006.0,9.99,1
Haggard Games,2007.0,4.99,1
Eugen Systems,2006.0,2.99,1
"Frontier,Aspyr (Mac)",2006.0,19.99,1
Eugen Systems,2005.0,2.99,1
"Epic Games, Inc.",2003.0,14.99,1
"Epic Games, Inc.",1998.0,9.99,1
Sanzaru Games,2008.0,4.99,1
Ubisoft,2003.0,9.99,1
Crytek Studios,2004.0,9.99,1
"Epic Games, Inc.",2000.0,9.99,1
Ubisoft Montreal,2006.0,9.99,1
Ubisoft,2005.0,9.99,1
Last Day of Work,2008.0,9.99,1
SpinTop Games,2008.0,4.99,1
MumboJumbo,2008.0,9.99,1
MumboJumbo,2008.0,9.99,1
MumboJumbo,2008.0,9.99,1
MumboJumbo,2008.0,9.99,1
MumboJumbo,2005.0,9.99,1
MumboJumbo,2007.0,9.99,1
Ubisoft,2007.0,9.99,1
MumboJumbo,2005.0,9.99,1
"Ubisoft Bulgaria,Ubisoft Montpellier",2007.0,9.99,1
Ubisoft Romania,2007.0,9.99,1
1C: Maddox Games,2006.0,9.99,1
Ubisoft Romania,2008.0,9.99,1
Telltale Games,2005.0,9.99,1
"Merscom,Babylon",2005.0,9.99,1
Telltale Games,2006.0,9.99,1
BigAnt Studios,2008.0,9.99,1
Gabriel Entertainment,2007.0,9.99,1
Zemnott,2007.0,9.99,1
Frogwares,2008.0,9.99,1
Frogwares,2008.0,9.99,1
"Luc Bernard,SilverSphereStudios",2008.0,4.99,1
Lesta Studio,2007.0,7.99,1
Dialogue Design,2008.0,4.99,1
Bugbear Entertainment,2008.0,19.99,1
Oddworld Inhabitants,1998.0,2.99,1
Oddworld Inhabitants,1997.0,2.99,1
SimBin,2008.0,7.99,1
"MicroProse Software, Inc",2001.0,4.99,1
"MicroProse Software, Inc",1997.0,4.99,1
"MicroProse Software, Inc",1993.0,4.99,1
GSC Game World,2008.0,9.99,1
Crytek,2008.0,19.99,1
Crytek,2007.0,19.99,1
"MicroProse Software, Inc",1998.0,4.99,1
CD PROJEKT RED,2008.0,9.99,1
Introversion Software,2008.0,9.99,1
SimBin,2008.0,2.99,1
"Tilted Mill Entertainment, Inc.",2008.0,2.49,1
Firaxis Games,2008.0,19.99,1
"Red Storm Entertainment,Ubisoft Montreal",2003.0,9.99,1
Traveller's Tales,2008.0,19.99,1
Monte Cristo,2008.0,9.99,1
"Tilted Mill Entertainment, Inc.",2008.0,9.99,1
Gearbox Software,2008.0,9.99,1
Dark Castle Software,2008.0,4.99,1
Techland,2006.0,4.99,1
Nival,2006.0,9.99,1
Gearbox Software,2005.0,9.99,1
Nival,2007.0,9.99,1
Blue Byte,2008.0,19.99,1
Ubisoft,2007.0,9.99,1
Red Storm Entertainment,2002.0,9.99,1
"PopCap Games, Inc.",2008.0,4.99,1
2D BOY,2008.0,9.99,1
Egosoft,2008.0,15.99,1
Sandstorm Productions,2008.0,0.0,1
Shorebound Studios,2008.0,4.99,1
Perpetual FX Creative,2008.0,19.99,1
Rockstar New England,2008.0,14.99,1
Ubisoft Montreal,2008.0,9.99,1
Meridian4,2008.0,4.99,1
RailSimulator.com,2009.0,4.99,1
RailSimulator.com,2009.0,4.99,1
RailSimulator.com,2009.0,4.99,1
Reppo,2009.0,4.99,1
RailSimulator.com,2009.0,4.99,1
Dovetail Games,2009.0,4.99,1
Dovetail Games,2009.0,4.99,1
Volition,2009.0,9.99,1
EA Redwood Shores,2008.0,19.99,1
Liquid Entertainment,2008.0,9.99,1
DICE,2009.0,19.99,1
Hidden Path Entertainment,2008.0,9.99,1
Monolith,2009.0,14.99,1
Oxeye Game Studio,2008.0,7.99,1
Inventive Dingo,2007.0,9.99,1
Meridian4,2009.0,4.99,1
Black Sea Studios Ltd,2005.0,9.99,1
Realmforge Studios,2009.0,5.99,1
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009.0,2.99,1
Deadline Games,2009.0,4.99,1
Frictional Games,2007.0,9.99,1
"Epic Games, Inc.",2007.0,19.99,1
Radon Labs,2009.0,9.99,1
Tale of Tales,2008.0,4.99,1
Criterion Games,2009.0,19.99,1
Twisted Pixel Games,2009.0,9.99,1
Twisted Pixel Games,2009.0,1.25,1
Twisted Pixel Games,2009.0,1.25,1
IonFX,2009.0,4.99,1
Llamasoft LTD,2009.0,9.99,1
"InnoGlow,Stormregion,THQ Nordic",2009.0,14.99,1
SpinTop Games,2009.0,4.99,1
ArenaNet®,2006.0,19.99,1
ArenaNet®,2005.0,19.99,1
ArenaNet®,2006.0,19.99,1
ArenaNet®,2008.0,29.99,1
Infinite Interactive,2009.0,14.99,1
MumboJumbo,2009.0,9.99,1
Reality Pump Studios,2009.0,9.99,1
Spellbound,2009.0,9.99,1
Gaijin Entertainment,2009.0,9.99,1
ACE Team,2009.0,9.99,1
Twisted Pixel Games,2009.0,1.25,1
1C Company,2008.0,6.99,1
Last Day of Work,2009.0,9.99,1
Sky Fallen,2009.0,2.99,1
Irrational Games,2005.0,4.99,1
Irrational Games,2002.0,4.99,1
SaintXi,2009.0,14.99,1
Darklight Games,2009.0,0.0,1
Radical Entertainment,2009.0,19.99,1
Erik Svedäng,,4.99,1
Ascaron Entertainment ltd.,2004.0,4.99,1
Bethesda Game Studios,2007.0,14.99,1
Bethesda Game Studios,2002.0,14.99,1
Deck 13,2007.0,4.99,1
NovaLogic,1999.0,9.99,1
NovaLogic,1998.0,9.99,1
Mascot Entertainment,2008.0,4.99,1
Techland,2009.0,9.99,1
HeR Interactive,2007.0,6.99,1
HeR Interactive,2006.0,6.99,1
HeR Interactive,2008.0,6.99,1
HeR Interactive,2007.0,6.99,1
Digital Eel,2008.0,0.0,1
Telltale Games,2009.0,19.99,1
Capcom,2009.0,19.99,1
Frontier,2007.0,9.99,1
LucasArts,1992.0,5.99,1
Planet Moon Studios,2003.0,5.99,1
Pandemic Studios,2005.0,9.99,1
LucasArts,1989.0,5.99,1
Traveller's Tales,2008.0,19.99,1
LucasArts,2009.0,9.99,1
GFI Russia,2008.0,12.99,1
Targem Games,2009.0,9.99,1
HeR Interactive,2009.0,6.99,1
Wanako Games,2006.0,9.99,1
Sierra,2006.0,19.99,1
Saber Interactive,2007.0,19.99,1
Sierra,2006.0,19.99,1
Tripwire Interactive,2009.0,7.99,1
Artech Studios,2008.0,9.99,1
"PopTop Software,BreakAway Games,Frog City Software",2009.0,6.99,1
SpinTop Games,2009.0,4.99,1
Capcom,2008.0,9.99,1
Capcom,2009.0,9.99,1
Deadline Games,2009.0,4.99,1
Sakari Indie,2009.0,4.99,1
"BioWare,Aspyr (Mac)",2003.0,9.99,1
Hemisphere Games,2009.0,9.99,1
Black Isle Studios,1998.0,9.99,1
14° East,2001.0,9.99,1
Xatrix Entertainment,1999.0,9.99,1
Telltale Games,2009.0,19.99,1
iWin,2009.0,19.99,1
iWin,2009.0,9.99,1
Size Five Games,2009.0,4.99,1
Ubisoft Montreal,2005.0,9.99,1
Unicorn Games Studio,2009.0,4.99,1
Blue Fang,2009.0,14.99,1
IO Interactive,2009.0,9.99,1
"Vectorpark, Inc.",2009.0,2.99,1
All Aboard,2009.0,24.99,1
MumboJumbo,2009.0,9.99,1
Telltale Games,2009.0,19.99,1
NovaLogic,2009.0,19.99,1
Dovetail Games,2009.0,17.99,1
PlayFirst,2009.0,9.99,1
Dovetail Games,2009.0,19.99,1
Piranha Bytes,2009.0,9.99,1
Honeyslug,2009.0,3.99,1
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009.0,9.99,1
Amanita Design,2009.0,9.99,1
EA Los Angeles,2007.0,9.99,1
Slightly Mad Studios,2009.0,19.99,1
Runic Games,2009.0,14.99,1
EA Los Angeles,2009.0,19.99,1
FireFly Studios,2009.0,19.99,1
Nitro Games,2009.0,4.99,1
Homegrown Games,2009.0,9.99,1
"Phenomic,THQ Nordic",2009.0,14.99,1
Animation Arts,2009.0,9.99,1
Stormregion,2009.0,4.99,1
Telltale Games,2009.0,19.99,1
1C Company,2009.0,4.99,1
Konstantin Koshutin,2009.0,4.99,1
Phenomic,2009.0,9.99,1
Wargaming.net,2005.0,9.99,1
Wargaming.net,2003.0,9.99,1
Croteam,2009.0,14.99,1
Animation Arts,2009.0,9.99,1
BioWare,2009.0,19.99,1
Citeremis Inc.,2009.0,4.99,1
Yullaby,2009.0,1.99,1
Crystal Empire Games,2009.0,9.99,1
"Infinity Ward,Aspyr (Mac)",2009.0,19.99,1
"Traveller's Tales,Feral Interactive (Mac)",2009.0,19.99,1
"Triumph Studios,Virtual Programming",2007.0,4.99,1
"Triumph Studios,Virtual Programming",2008.0,9.99,1
EA Los Angeles,2007.0,14.99,1
KranX Productions,2008.0,4.99,1
EA Los Angeles,2009.0,19.99,1
Positech Games,2009.0,14.99,1
Gaijin Entertainment,2009.0,9.99,1
inXile Entertainment,2005.0,9.99,1
Defence Alliance Team,2009.0,0.0,1
"LucasArts,Aspyr Studios",2009.0,19.99,1
Bethesda Game Studios,2009.0,19.99,1
Positech Games,2009.0,5.99,1
Hip Soft,2007.0,9.99,1
Hip Soft,2008.0,9.99,1
Hip Soft,2009.0,9.99,1
iWin,2009.0,9.99,1
Spidermonk Entertainment,2009.0,1.99,1
Capcom,2008.0,19.99,1
ClockStone Studios,2010.0,9.99,1
Hip Soft,2009.0,9.99,1
Octoshark Studios,2010.0,0.0,1
Alawar,2008.0,4.99,1
Alawar,2010.0,9.99,1
Alawar,2009.0,9.99,1
Alawar,2007.0,4.99,1
Alawar,2009.0,4.99,1
Sandlot Games,2010.0,6.99,1
Sandlot Games,2010.0,6.99,1
Cateia Games,2010.0,6.99,1
Chaos Concept,2010.0,9.99,1
Traveller's Tales,2010.0,19.99,1
New Star Games Ltd,2010.0,4.99,1
Paradox Interactive,2010.0,0.99,1
The Farm 51,2010.0,6.99,1
Awem Studio,2007.0,9.99,1
Rebellion,2010.0,7.49,1
Croteam,2001.0,9.99,1
All Aboard,2010.0,19.99,1
TaleWorlds Entertainment,2010.0,19.99,1
ZoopTEK,2010.0,4.99,1
Beatnik Games,2010.0,4.99,1
Fatshark,2010.0,9.99,1
Rockstar North / Toronto,2010.0,19.99,1
Other Ocean Interactive,2010.0,4.99,1
Nemesys Games,2010.0,0.99,1
Cold Beam Games,2010.0,9.99,1
Telltale Games,2010.0,19.99,1
Realmforge Studios,2010.0,9.99,1
Gaijin Entertainment,2010.0,4.99,1
The Odd Gentlemen,2010.0,4.99,1
THQ Nordic,2003.0,4.99,1
THQ Nordic,2001.0,4.99,1
Red Chain Games Ltd.,2010.0,1.99,1
Big Fish Games,2006.0,9.99,1
Big Fish Games,2008.0,9.99,1
"The Creative Assembly,Feral Interactive (Mac)",2010.0,2.99,1
Sarbakan,2008.0,6.99,1
PlayFirst,2009.0,6.99,1
Absolutist Ltd.,2009.0,6.99,1
PlayFirst,2009.0,6.99,1
PlayFirst,2010.0,6.99,1
PlayFirst,2008.0,6.99,1
PlayFirst,2007.0,6.99,1
PlayFirst,2009.0,6.99,1
G5 Entertainment,2010.0,9.99,1
Climax Studios,2010.0,14.99,1
Muse Games,2010.0,4.99,1
Ideas Pad,2010.0,4.99,1
Ubisoft,2010.0,19.99,1
Kokakiki,2010.0,4.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
D3T Limited,2010.0,61.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
Obsidian Entertainment,2010.0,14.99,1
Team17 Software Ltd.,2010.0,9.99,1
Bethesda Game Studios,2010.0,4.99,1
Hidden Path Entertainment,2010.0,0.99,1
Bethesda Game Studios,2010.0,4.99,1
Bethesda Game Studios,2010.0,4.99,1
Bethesda Game Studios,2010.0,4.99,1
